,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,100,ZA,1575255084,77,-33.93,18.42,64.0,8.05
1,Bay Roberts,90,CA,1575255240,79,47.58,-53.28,30.99,9.17
2,Dickinson,1,US,1575255091,78,46.88,-102.79,19.99,13.87
3,Atuona,27,PF,1575254654,64,-9.8,-139.03,80.35,7.23
4,Padang,64,ID,1575255244,85,-0.92,100.36,77.11,3.11
5,Butterworth,20,MY,1575255245,74,5.4,100.37,84.2,10.29
6,Mataura,67,NZ,1575255246,67,-46.19,168.86,63.0,11.99
7,Busselton,0,AU,1575254700,24,-33.64,115.35,88.0,4.41
8,Menongue,100,AO,1575255248,96,-14.66,17.68,63.46,2.3
9,Betare Oya,100,CM,1575255249,44,5.6,14.08,67.66,3.13
10,Saldanha,0,PT,1575255250,75,41.42,-6.55,41.31,12.33
11,Tuktoyaktuk,75,CA,1575254703,84,69.44,-133.03,3.2,16.11
12,Gloucester,2,GB,1575255252,92,51.87,-2.25,33.01,2.24
13,Kintinku,13,TZ,1575255253,78,-5.89,35.22,69.96,1.86
14,Upernavik,100,GL,1575254729,60,72.79,-56.15,16.52,6.31
15,Ushuaia,75,AR,1575254680,81,-54.81,-68.31,50.0,3.76
16,New Norfolk,75,AU,1575255256,54,-42.78,147.06,55.0,14.99
17,Valdivia,81,CL,1575255257,93,-39.81,-73.25,57.2,2.24
18,Butaritari,100,KI,1575254691,71,3.07,172.79,84.92,10.22
19,Arraial do Cabo,100,BR,1575255259,95,-22.97,-42.02,74.07,18.88
20,Mahibadhoo,100,MV,1575254690,76,3.78,72.97,82.96,9.86
21,Brae,100,GB,1575255262,93,60.4,-1.35,44.6,5.82
22,Lebu,20,ET,1575254820,76,8.96,38.73,51.8,4.7
23,Tasiilaq,100,GL,1575254731,92,65.61,-37.64,30.2,32.21
24,Lichinga,81,MZ,1575255147,97,-13.3,35.25,64.9,1.7
25,East London,100,ZA,1575255003,87,-33.02,27.91,69.26,21.39
26,Hobart,75,AU,1575255092,54,-42.88,147.33,55.0,14.99
27,Vanavara,0,RU,1575255268,87,60.35,102.28,-25.83,3.06
28,Troitsko-Pechorsk,100,RU,1575255269,96,62.71,56.19,23.16,4.7
29,Barrow,0,AR,1575255270,72,-38.31,-60.23,45.66,3.98
30,Isangel,95,VU,1575255271,62,-19.55,169.27,84.2,6.93
31,Itirucu,57,BR,1575255272,98,-13.53,-40.15,66.76,2.86
32,Thaba-Tseka,100,LS,1575255273,51,-29.52,28.61,52.02,5.5
33,Luanda,75,AO,1575254714,83,-8.83,13.24,78.8,3.36
34,Fairbanks,90,US,1575254732,92,64.84,-147.72,19.4,4.03
35,Aksay,100,KZ,1575255276,98,51.17,53.01,32.77,8.08
